ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj
688981.SH,20260311,107.2296,108.7996,106.9996,107.0996,107.2796,-0.18,-0.1678,279982.97,3016803.608,hfq
688981.SH,20260312,106.9997,108.5497,104.9497,106.0097,107.0997,-1.0899,-1.0177,288819.77,3075181.737,hfq
688981.SH,20260313,105.0197,107.8297,104.4997,107.0597,106.0097,1.05,0.9905,341633.26,3642164.903,hfq
688981.SH,20260316,106.3096,110.3196,105.4996,108.5996,107.0596,1.5399,1.4384,422554.97,4559220.659,hfq
688981.SH,20260317,108.5396,108.5796,105.9896,106.0196,108.5996,-2.58,-2.3757,295718.04,3173439.587,hfq
688981.SH,20260318,105.7797,106.8797,105.2497,106.5997,106.0197,0.5801,0.5471,263345.92,2794678.901,hfq
688981.SH,20260319,105.0096,107.6896,104.5096,105.9596,106.5996,-0.6401,-0.6004,378655.95,4001785.717,hfq
688981.SH,20260320,105.1996,105.7196,102.1796,102.1796,105.9596,-3.78,-3.5674,381294.75,3960183.826,hfq
688981.SH,20260323,100.0096,101.9896,97.3996,98.0396,102.1796,-4.14,-4.0517,506671.26,5040929.175,hfq
688981.SH,20260324,98.8996,99.3696,97.2496,99.2496,98.0396,1.21,1.2342,336803.26,3314641.85,hfq
688981.SH,20260325,99.6696,100.9396,99.2796,99.9896,99.2496,0.74,0.7456,321306.43,3215491.219,hfq
688981.SH,20260326,99.5497,99.6997,96.5497,96.8797,99.9897,-3.1099,-3.1103,313198.89,3067688.006,hfq
688981.SH,20260327,95.9997,98.3897,95.8697,97.4997,96.8797,0.62,0.64,280875.27,2738255.865,hfq
688981.SH,20260330,95.7997,96.1897,93.9997,95.8297,97.4997,-1.67,-1.7128,328870.03,3130020.525,hfq
688981.SH,20260331,95.7997,97.3997,93.9997,94.0497,95.8297,-1.78,-1.8575,293839.03,2809492.923,hfq
688981.SH,20260401,96.3996,96.6996,94.8096,96.3296,94.0496,2.2799,2.4242,325648.08,3121615.312,hfq
688981.SH,20260402,95.4997,95.7897,92.5097,93.1997,96.3297,-3.1299,-3.2492,293828.32,2760191.974,hfq
688981.SH,20260403,93.4097,93.9397,91.7597,91.7797,93.1997,-1.42,-1.5236,216461.63,2004261.621,hfq
688981.SH,20260407,91.4997,96.9897,91.1997,95.6197,91.7797,3.84,4.1839,458242.31,4340589.11,hfq
688981.SH,20260408,99.0197,101.5397,99.0197,101.1797,95.6197,5.56,5.8147,544697.12,5458085.866,hfq
688981.SH,20260409,99.3996,101.1996,99.1996,99.7196,101.1796,-1.4601,-1.443,310716.53,3111335.889,hfq
688981.SH,20260410,100.9996,102.7896,100.6796,101.0096,99.7196,1.29,1.2936,406305.14,4130861.809,hfq
688981.SH,20260413,99.8496,102.7996,99.7196,100.6396,101.0096,-0.37,-0.3663,351885.22,3554994.262,hfq
688981.SH,20260414,102.0996,102.2796,100.3796,101.5196,100.6396,0.88,0.8744,370910.59,3760621.304,hfq
688981.SH,20260415,102.0496,106.0996,101.7996,103.9096,101.5196,2.39,2.3542,704839.0,7336887.912,hfq
688981.SH,20260416,103.4995,104.9995,102.9995,104.1795,103.9095,0.2699,0.2598,393721.35,4092706.42,hfq
688981.SH,20260417,103.8196,107.2996,103.2696,105.2296,104.1796,1.0501,1.0079,503755.27,5313222.52,hfq
688981.SH,20260420,105.9295,108.5995,105.0095,107.9595,105.2295,2.7299,2.5943,547702.62,5872447.693,hfq
688981.SH,20260421,107.3296,108.1496,105.6796,107.4596,107.9596,-0.4999,-0.4631,372584.25,3976054.595,hfq
688981.SH,20260422,106.7995,108.0795,106.4995,107.8695,107.4595,0.4099,0.3815,375216.74,4023321.89,hfq
688981.SH,20260423,108.8796,109.1196,105.1996,105.9796,107.8696,-1.8899,-1.7521,441491.01,4724880.091,hfq
688981.SH,20260424,105.5795,113.2495,104.6095,110.9595,105.9795,4.9799,4.699,910703.63,9980491.748,hfq
688981.SH,20260427,113.2495,117.6895,112.5995,116.5795,110.9595,5.62,5.0649,970295.86,11249548.325,hfq
688981.SH,20260428,115.2395,117.6395,113.0195,113.9995,116.5795,-2.58,-2.2131,625007.3,7209850.228,hfq
688981.SH,20260429,113.3495,113.8195,109.7795,112.4695,113.9995,-1.53,-1.3421,514882.54,5750212.698,hfq
688981.SH,20260430,113.3095,119.8795,113.2995,118.7295,112.4695,6.26,5.5659,1018382.85,11911527.206,hfq
688981.SH,20260506,121.9994,128.1194,121.7394,123.0994,118.7294,4.3699,3.6806,1292940.51,16176667.799,hfq
688981.SH,20260507,125.1094,127.4794,122.2194,125.3394,123.0994,2.24,1.8197,842774.03,10482928.52,hfq
688981.SH,20260508,122.8995,123.1895,120.0495,120.3095,125.3395,-5.0299,-4.0131,708618.1,8595731.864,hfq
688981.SH,20260511,122.9894,124.5694,121.8994,122.5194,120.3094,2.2099,1.8369,814859.72,10017304.327,hfq
688981.SH,20260512,124.4395,125.4395,119.9995,121.9795,122.5195,-0.5399,-0.4407,817732.34,10018643.228,hfq
688981.SH,20260513,118.9994,122.4994,116.0394,121.8594,121.9794,-0.1201,-0.0984,954951.48,11374279.337,hfq
688981.SH,20260514,121.9195,124.0395,116.9995,117.8995,121.8595,-3.9599,-3.2496,790650.15,9451219.953,hfq
688981.SH,20260515,120.9995,124.9995,118.4795,119.0195,117.8995,1.12,0.95,1328100.54,16152497.227,hfq
688981.SH,20260518,117.3995,120.3395,115.5995,117.6195,119.0195,-1.4,-1.1763,748969.19,8855418.364,hfq
688981.SH,20260519,116.1595,118.8795,112.6795,118.8195,117.6195,1.2,1.0202,840269.78,9713877.346,hfq
688981.SH,20260520,117.9995,136.6294,117.4995,133.8094,118.8195,14.9899,12.6157,2248800.56,28996720.135,hfq
688981.SH,20260521,133.9994,137.6294,127.0994,127.2194,133.8094,-6.59,-4.9249,1546776.71,20601829.525,hfq
688981.SH,20260522,129.3294,132.1794,126.4994,131.3294,127.2194,4.11,3.2306,1199477.88,15516843.653,hfq
688981.SH,20260525,135.9993,157.5992,135.9993,155.9992,131.3293,24.6698,18.7847,2521802.26,37253708.024,hfq
688981.SH,20260526,150.7292,154.4392,145.4992,149.1792,155.9992,-6.82,-4.3718,1799242.41,26787296.677,hfq
688981.SH,20260527,149.9992,153.5192,144.9992,146.2192,149.1792,-2.96,-1.9842,1234983.75,18473692.356,hfq
688981.SH,20260528,145.9992,159.0492,145.9992,153.6992,146.2192,7.48,5.1156,1608231.75,24822318.598,hfq
688981.SH,20260529,150.9192,152.3792,138.4893,139.9093,153.6992,-13.7899,-8.972,1536812.64,22138462.395,hfq
688981.SH,20260601,139.7594,140.7994,132.0394,132.4394,139.9094,-7.4699,-5.3391,1008849.14,13645017.172,hfq
688981.SH,20260602,132.9794,135.4994,129.2994,132.4794,132.4394,0.04,0.0302,923688.2,12256037.221,hfq
688981.SH,20260603,131.9993,138.7493,131.8493,133.9993,132.4793,1.5199,1.1473,992127.45,13487781.965,hfq
688981.SH,20260604,130.9993,137.5693,129.9993,134.8793,133.9993,0.88,0.6567,778526.88,10493292.686,hfq
688981.SH,20260605,130.9993,134.7493,126.6993,127.3993,134.8793,-7.48,-5.5457,934574.33,12150117.807,hfq
688981.SH,20260608,119.9993,124.2793,119.9993,121.9193,127.3993,-5.48,-4.3014,781225.59,9545783.582,hfq
688981.SH,20260609,123.4993,128.0293,120.8893,127.2993,121.9193,5.38,4.4127,769662.77,9607775.526,hfq
688981.SH,20260610,124.9993,131.1793,124.4993,125.3393,127.2993,-1.96,-1.5397,669094.14,8511488.618,hfq
688981.SH,20260611,123.9992,129.0792,123.0092,127.3992,125.3392,2.0599,1.6435,626275.99,7935636.355,hfq
688981.SH,20260612,131.6392,134.8691,124.3692,124.8792,127.3992,-2.52,-1.978,817437.29,10575818.607,hfq
688981.SH,20260615,128.5892,130.9992,124.8892,130.5192,124.8792,5.64,4.5163,728604.09,9404695.623,hfq
688981.SH,20260616,130.9992,134.3392,127.9292,130.1392,130.5192,-0.38,-0.2911,745583.01,9738547.521,hfq
688981.SH,20260617,127.9092,134.8792,126.6792,134.6992,130.1392,4.56,3.5039,963562.12,12699097.858,hfq
688981.SH,20260618,136.1091,144.6291,132.8792,140.6991,134.6991,5.9999,4.4543,1244937.14,17289251.566,hfq
688981.SH,20260622,140.7791,147.9991,139.9991,145.5891,140.6991,4.89,3.4755,1060960.58,15251149.626,hfq
688981.SH,20260623,143.5791,148.2991,139.5991,141.6991,145.5891,-3.89,-2.6719,918201.09,13211881.994,hfq
